isGlobalReportingGroup,children,color,comments,id,name,reference
False,[],"{'a': 255, 'b': 255, 'g': 0, 'r': 0}",,b2E76,Rafael Canada,
True,"[{'id': 'GroupAssetPurposeId'}, {'id': 'GroupAssetTypeId'}, {'id': 'GroupPowertrainAndFuelTypeId'}]","{'a': 255, 'b': 0, 'g': 0, 'r': 0}",,GroupAssetInformationId,Asset Information,
True,[],"{'a': 255, 'b': 0, 'g': 0, 'r': 0}",,GroupAssetPurposeId,Asset Purpose,
True,"[{'id': 'GroupContainerId'}, {'id': 'GroupEquipmentId'}, {'id': 'GroupTrailerId'}, {'id': 'GroupVehicleId'}]","{'a': 255, 'b': 255, 'g': 110, 'r': 165}",,GroupAssetTypeId,Asset Type,
True,[],"{'a': 255, 'b': 255, 'g': 159, 'r': 128}",,GroupEquipmentId,Equipment,
True,[],"{'a': 255, 'b': 255, 'g': 255, 'r': 128}",,GroupContainerId,Container,
True,[],"{'a': 255, 'b': 255, 'g': 152, 'r': 16}",,GroupVehicleId,Vehicle,
True,[],"{'a': 255, 'b': 13, 'g': 158, 'r': 255}",,GroupTrailerId,Trailer,
True,"[{'id': 'GroupElectricHybridPluginId'}, {'id': 'GroupFuelCellElectricVehicleId'}, {'id': 'GroupInternalCombustionEngineId'}, {'id': 'GroupManuallyClassifiedPowertrainId'}]","{'a': 255, 'b': 0, 'g': 0, 'r': 0}",,GroupPowertrainAndFuelTypeId,Powertrain and Fuel Type,
True,[],"{'a': 255, 'b': 255, 'g': 152, 'r': 16}",,GroupFuelCellElectricVehicleId,Fuel Cell Electric Vehicle,
True,[],"{'a': 255, 'b': 196, 'g': 41, 'r': 105}",,GroupManuallyClassifiedPowertrainId,Manually Classified Powertrain,
True,"[{'id': 'GroupBatteryElectricVehicleId'}, {'id': 'GroupPluginHybridElectricVehicleId'}]","{'a': 255, 'b': 56, 'g': 95, 'r': 43}",,GroupElectricHybridPluginId,Electric or Plug-In Hybrid,
True,[],"{'a': 255, 'b': 9, 'g': 156, 'r': 124}",,GroupPluginHybridElectricVehicleId,Plug-in Hybrid Electric Vehicle,
True,[],"{'a': 255, 'b': 29, 'g': 210, 'r': 171}",,GroupBatteryElectricVehicleId,Battery Electric Vehicle,
True,"[{'id': 'GroupBiodieselId'}, {'id': 'GroupCompressedNaturalGasId'}, {'id': 'GroupDieselId'}, {'id': 'GroupEthanolId'}, {'id': 'GroupGasolinePetrolId'}, {'id': 'GroupOtherFuelId'}, {'id': 'GroupPropaneLiquifiedPetroleumGasId'}]","{'a': 255, 'b': 149, 'g': 118, 'r': 117}",,GroupInternalCombustionEngineId,Internal Combustion Engine,
True,[],"{'a': 255, 'b': 58, 'g': 124, 'r': 218}",,GroupPropaneLiquifiedPetroleumGasId,Propane or Liquified Petroleum Gas,
True,[],"{'a': 255, 'b': 13, 'g': 158, 'r': 255}",,GroupOtherFuelId,Other Fuel Type,
True,[],"{'a': 255, 'b': 8, 'g': 4, 'r': 82}",,GroupCompressedNaturalGasId,Compressed Natural Gas,
True,[],"{'a': 255, 'b': 73, 'g': 39, 'r': 1}",,GroupBiodieselId,Biodiesel,
True,[],"{'a': 255, 'b': 0, 'g': 134, 'r': 178}",,GroupEthanolId,Ethanol,
True,[],"{'a': 255, 'b': 0, 'g': 56, 'r': 138}",,GroupDieselId,Diesel,
True,[],"{'a': 255, 'b': 0, 'g': 214, 'r': 255}",,GroupGasolinePetrolId,Gasoline or Petrol,
True,"[{'id': 'GroupBusinessGroupId'}, {'id': 'GroupPersonalGroupId'}]","{'a': 255, 'b': 72, 'g': 125, 'r': 56}",,GroupDriverActivityGroupId,DriverActivity,
True,[],"{'a': 255, 'b': 210, 'g': 125, 'r': 13}",,GroupPersonalGroupId,Personal,
True,[],"{'a': 255, 'b': 98, 'g': 35, 'r': 145}",,GroupBusinessGroupId,Business,
